lei,respondent_name,respondent_city,respondent_state,type_name,respondent_rssd
549300C853H86L248593,1ST SOUTHERN NAT BANK,Lancaster,KY,Bank or Affiliate,702612
54930082VCNY40XPOB62,THE 1ST NAT BANK OF JEANERETTE,Jeanerette,LA,Bank or Affiliate,622037
549300T1KLQQ7B84EZ41,CITIZENS NAT BANK,Bossier City,LA,Bank or Affiliate,594853
549300II7Y8V2KY9TM28,HOME BANK,Lafayette,LA,Bank or Affiliate,929978
549300CPKDUJKREQRG38,INVESTAR BANK,Baton Rouge,LA,Bank or Affiliate,3449066
549300FK3AFCFVAPH234,LEADER BANK,Arlington,MA,Bank or Affiliate,3109146
549300LUOV7WW4BLH779,THE NAT GRAND BANK OF MARBLEHEAD,Marblehead,MA,Bank or Affiliate,863607
54930044OSTKOJMHF287,CAPITAL BANK,Rockville,MD,Bank or Affiliate,2808602
549300VMVKSQE1B7DD43,THE CAMDEN NAT BANK,Camden,ME,Bank or Affiliate,593007
5493002J7RM1JLAXN553,1ST NAT BANK,Damariscotta,ME,Bank or Affiliate,439404
549300W07W12OUENKR02,COUNTY NAT BANK,Hillsdale,MI,Bank or Affiliate,682143
254900WTZC5SSKIN2M11,1ST NAT BANK OF AMERICA,East Lansing,MI,Bank or Affiliate,413141
549300HWDY3N8UVJO697,SUNRISE BANKS,St. Paul,MN,Bank or Affiliate,860053
549300G3WIMVDYUYQC27,AMER HERITAGE NAT BANK,Long Prairie,MN,Bank or Affiliate,61757
549300KUIZTYQRC0R888,HERITAGE BANK,Spicer,MN,Bank or Affiliate,901358
549300G6F5FVAHSGKU13,NEIGHBORHOOD NAT BANK,Mora,MN,Bank or Affiliate,705556
549300IJ5M3CD2DPIX47,AMER NAT BANK OF MINNESOTA,Baxter,MN,Bank or Affiliate,306159
2549008O36ZLTWMCKU62,F & M COMMUNITY BANK,Preston,MN,Bank or Affiliate,171759
549300OZIFHR7THILC90,MERCHANTS BANK,Winona,MN,Bank or Affiliate,779351
5493002XYKZPDHNHJY97,THE 1ST NAT BANK OF LE CENTER,Le Center,MN,Bank or Affiliate,986551
549300RWMKY0FK1H5L44,MONTGOMERY BANK,Sikeston,MO,Bank or Affiliate,613558
549300LP0CV2MNC1GV68,ACADEMY BANK,Kansas City,MO,Bank or Affiliate,535753
5493007CLWQN2S6IZK91,ARMED FORCES BANK,Kansas City,MO,Bank or Affiliate,983457
5493000SHD1NU031PX30,THE TIPTON LATHAM BANK,Tipton,MO,Bank or Affiliate,984856
549300XFNTNQLLW0HY87,THE CITIZENS NAT BANK OF MERIDIAN,Meridian,MS,Bank or Affiliate,69333
5493008OE5JXNTGWD962,THE 1ST A NAT BANKING ASSOC,Hattiesburg,MS,Bank or Affiliate,2385514
549300DY5ZVXIORLFC39,BANK OF BRIDGER,Bridger,MT,Bank or Affiliate,17950
549300C4J510S9L1RF98,ALERUS FIN,Grand Forks,ND,Bank or Affiliate,933256
5493002POZ4RFS6X0Z30,DAKOTA COMMUNITY BANK & TRUST,Hebron,ND,Bank or Affiliate,815156
5493007RCYAICJL91Z44,SECURITY NAT BANK OF OMAHA,Omaha,NE,Bank or Affiliate,844053
VEQ70DCTAI4TBBHPYI39,AMER NAT BANK,Omaha,NE,Bank or Affiliate,660655
549300DSSN04C7ZJJD51,NEWFIELD NAT BANK,Newfield,NJ,Bank or Affiliate,632410
5493002N5168AC238149,OCEANFIRST BANK,Toms River,NJ,Bank or Affiliate,85472
549300O3C6Y0X1FKZJ98,THE 1ST NAT BANK OF ELMER,Elmer,NJ,Bank or Affiliate,609010
5493003XLOX5FDT9R120,1ST HOPE BANK A NAT BANKING ASSOC,Hope,NJ,Bank or Affiliate,434203
549300KOLMR4MSUXQS86,THE NAT BANK OF COXSACKIE,Coxsackie,NY,Bank or Affiliate,234506
5493002JNEZK52NOPC21,SARATOGA NAT B&T,Saratoga Springs,NY,Bank or Affiliate,1211371
254900Q6IHGQO7INVC79,THE LYONS NAT BANK,Lyons,NY,Bank or Affiliate,323204
5493005RDTT7HVODH436,COMMUNITY BANK,Canton,NY,Bank or Affiliate,202907
WO4YNEKNSZNVVA7Q7C46,THE 1ST NAT BANK OF LONG ISLAND,Glen Head,NY,Bank or Affiliate,837000
549300S5FSS555M0NA74,1ST NAT BANK OF SCOTIA,Scotia,NY,Bank or Affiliate,472616
549300F7JKU0UTD6KX15,EVANS BANK,Angola,NY,Bank or Affiliate,292908
549300RM7ARTTP3T1V93,THE CANANDAIGUA NAT B&T,Canandaigua,NY,Bank or Affiliate,161602
549300ERHDU3FCE3FA33,GLENS FALLS NAT B&T,Glens Falls,NY,Bank or Affiliate,866000
5493009BOQDC6PCFR785,NBT BANK,Norwich,NY,Bank or Affiliate,702117
549300QY4UCP33T94N09,BALLSTON SPA NAT BANK,Ballston Spa,NY,Bank or Affiliate,505
254900ICEZWRRYBRW481,KINGSTON NAT BANK,Kingston,OH,Bank or Affiliate,966722
549300ROUYYKL22P3T17,THE 1ST NAT BANK OF PANDORA,Pandora,OH,Bank or Affiliate,571920
254900JH5HOQQ4CDPC30,THE 1ST NAT BANK OF MCCONNELSVILLE,McConnelsville,OH,Bank or Affiliate,44929
254900PJ63T7KFSHAV90,THE MERCHANTS NAT BANK,Hillsboro,OH,Bank or Affiliate,701222
549300Q55VW95EP3CM33,LCNB NAT BANK,Lebanon,OH,Bank or Affiliate,785923
5493008X303QT73TU753,LIBERTY NAT BANK,Ada,OH,Bank or Affiliate,130813
549300CEHN5CVC6INV48,THE PARK NAT BANK,Newark,OH,Bank or Affiliate,489623
549300YNUT7D0FWKU636,THE FARMERS NAT BANK OF CANFIELD,Canfield,OH,Bank or Affiliate,680813
5493001GAASLCSP1PB64,NAT COOPERATIVE BANK,Hillsboro,OH,Bank or Affiliate,99376
254900KOJTW8YS8AL287,1ST NAT BANK OF BELLEVUE,Bellevue,OH,Bank or Affiliate,243414
54930087JNDLPJWOLV11,THE VINTON COUNTY NAT BANK,McArthur,OH,Bank or Affiliate,754826
